CardHoldersName,Card_Number,Expiry_Date,ShipToAddress,ShipToAddress1,ShipToCity,ShipToCountry,ShipToCustomerNumber,ShipToEmail,ShipToName,ShipToPhone,ShipToState,ShipToZip,RandZip,first_time_customer,order_dollar_amaout,num_items,age,web_order,total_transactions_to_date,billing_shipping_zip_equal,hour_of_day,Reported_as_fraud,rownum,lookup_id,NewShipToZip
Kaseem Valdez         ,5586194819321987,1123,?,821 West Kiribati Ave.                                        ,Las Vegas             ,USA,279277,Eaton@libero.org           ,Kaseem *Valdez         ,492-217-9557,NV,29957,29890,Y,177.6,19,22.8,N,18,N,20,N,36384,3,89106
Lara Hendricks        ,5346301220197028,1119,?,40587 North Aruba Blvd.                                       ,Las Vegas             ,USA,156569,Cedric@netus.edu           ,Lara *Hendricks        ,388-873-1838,NV,26164,25862,N,44.5,15,14.5,Y,73,N,5,N,82323,1,89102
Vernon Camacho        ,5484074903113016,621,?,72180 South South Africa Ln.                                  ,Las Vegas             ,USA,293911,Iliana@erat.gov            ,Basia *Gilbert         ,680-540-6460,NV,75533,93284,Y,904.9,11,34.3,Y,34,N,11,Y,96576,2,89109
Harriet Trevino       ,344030815359924,823,?,84700  Bahamas Blvd.                                          ,Las Vegas             ,USA,930969,Chanda@Class.edu           ,Harriet *Trevino       ,319-461-9941,NV,63952,63704,N,331.2,17,62.2,Y,65,N,15,N,52246,3,89106
Hayley Jarvis         ,5341693606292885,419,?,46961  Estonia Way                                            ,Las Vegas             ,USA,227571,Aiko@torquent.com          ,Hayley *Jarvis         ,288-888-2267,NV,92343,91980,Y,750.2,15,28.8,Y,23,N,21,Y,33945,1,89102
Cheryl Hewitt         ,349688541776094,819,?,45023 North Serbia and Montenegro St.                         ,Las Vegas             ,USA,908258,Tallulah@pretium.gov       ,Olivia *Kelly          ,591-943-6531,NV,99695,60639,Y,546.6,8,105.8,N,68,N,5,N,15639,2,89109
Molly Jenkins         ,4024007184953338,920,?,10547 South Zimbabwe Ct.                                      ,Las Vegas             ,USA,567479,Channing@netus.gov         ,Molly *Jenkins         ,599-361-8542,NV,24512,24431,N,475.1,1,69.9,N,90,N,22,N,28106,3,89106
Hedley Cross          ,4532669100111682,1020,?,53441 East Austria Ln.                                        ,Las Vegas             ,USA,683286,Clio@sociosqu.us           ,Hedley *Cross          ,451-648-4481,NV,32404,32057,N,173,2,26.6,N,37,N,17,N,26396,1,89102
Judah Bryan           ,4532071844582353,1020,?,92212 North Andorra St.                                       ,Las Vegas             ,USA,493312,Tamekah@cubilia.gov        ,Judah *Bryan           ,327-230-5400,NV,45913,45465,Y,45.2,9,63.2,N,13,N,0,N,92369,2,89109
Bethany Ward          ,5253165815572577,821,?,49552 North Kent Way                                          ,Las Vegas             ,USA,93308,Acton@parturient.com       ,Bethany *Ward          ,313-089-9358,NV,13010,12866,N,266.3,6,23.8,N,59,N,12,N,3365,3,89106
Burton Cole           ,4929972830323606,119,?,92545  Slovenia Ln.                                           ,Las Vegas             ,USA,433048,Shad@Sed.com               ,Jane *Camacho          ,367-424-3145,NV,60399,47749,N,250.6,12,62.1,Y,69,N,2,Y,64963,1,89102
Willow Byrd           ,4024007136968053,521,?,82792  Qatar Ct.                                              ,Las Vegas             ,USA,795422,Dane@blandit.gov           ,Willow *Byrd           ,629-456-0168,NV,51338,51011,Y,271.8,15,29.3,N,29,N,17,N,82390,2,89109
Darryl French         ,5159959921379900,719,?,68414 West Armenia St.                                        ,Las Vegas             ,USA,297073,Fritz@cubilia.edu          ,Julian *Contreras      ,968-670-7471,NV,13434,7559,Y,318.3,19,94.4,Y,71,N,19,N,25005,3,89106
Raja Stanton          ,5154661544771118,723,?,13291 South Portugal Ct.                                      ,Las Vegas             ,USA,301579,Kellie@vitae.net           ,Eric *Avery            ,594-077-8941,NV,37247,95163,Y,605.6,2,65,N,87,N,11,N,24954,1,89102
Joelle Battle         ,4716820904452958,720,?,41106  France Way                                             ,Las Vegas             ,USA,519086,Lucian@at.org              ,Carlos *Mayer          ,947-254-7380,NV,7917,24361,Y,235.6,12,67,Y,97,N,16,N,65968,2,89109
Willow Greene         ,372671281736148,219,?,37302 West Rwanda Way                                         ,Las Vegas             ,USA,857192,Nell@Vestibulum.org        ,Willow *Greene         ,405-988-7425,NV,70206,69819,N,988.2,5,77.1,N,69,N,8,N,25545,3,89106
Nathaniel Valencia    ,5510430052635969,922,?,19414  Uganda Ave.                                            ,Las Vegas             ,USA,32511,Nola@iaculis.org           ,Nathaniel *Valencia    ,240-220-7820,NV,55175,54865,Y,969,2,71,N,19,N,15,Y,41235,1,89102
Ahmed Sampson         ,4485159200201010,619,?,76254 West Maldives Ct.                                       ,Las Vegas             ,USA,664005,Hayden@interdum.edu        ,Rae *Melton            ,144-825-0526,NV,26777,9068,Y,833.2,12,79.8,Y,45,N,23,Y,63123,2,89109
Guinevere Kane        ,370405758778701,1121,?,2131 East American Samoa Ave.                                 ,Las Vegas             ,USA,862172,Celeste@aliquet.org        ,Guinevere *Kane        ,180-782-2928,NV,24441,24426,N,21.4,12,24.1,Y,42,N,0,N,65094,3,89106
Reuben Cooley         ,4556117543298857,221,?,85899 West Myanmar St.                                        ,Las Vegas             ,USA,527933,Anjolie@tellus.us          ,Reuben *Cooley         ,426-795-8131,NV,21760,21488,Y,97.4,5,10.5,N,55,N,18,Y,30808,1,89102
Blaze Banks           ,4929060694971361,1120,?,64870 North Thailand Ct.                                      ,Las Vegas             ,USA,697007,Lev@fames.edu              ,Blaze *Banks           ,631-756-3354,NV,40186,39936,Y,5.6,3,92.4,Y,17,N,14,N,90500,2,89109
Daquan Swanson        ,4916624417283936,823,?,93018 North Costa Rica Ln.                                    ,Las Vegas             ,USA,582577,Claire@sapien.edu          ,Daquan *Swanson        ,191-404-2540,NV,14112,13656,N,627.8,1,25.1,Y,5,N,9,N,39798,3,89106
Lara Gaines           ,4716923864252762,219,?,35341 East Spain Blvd.                                        ,Las Vegas             ,USA,359760,Gil@vehicula.us            ,Lara *Gaines           ,495-442-4221,NV,81141,80999,N,477.2,20,95.1,N,8,N,20,N,62865,1,89102
Yuri Vang             ,4916066799726209,722,?,28147 East Evansville Ave.                                    ,Las Vegas             ,USA,464868,Iona@in.us                 ,Olympia *Carpenter     ,848-161-8577,NV,50678,39521,N,165.4,2,102.4,N,61,N,16,N,16073,2,89109
Samson Winters        ,4024007114874588,623,?,3361  Muncie Blvd.                                            ,Las Vegas             ,USA,384180,Yael@Morbi.org             ,Samson *Winters        ,892-115-6152,NV,95813,95798,Y,993.7,9,12.4,N,86,N,10,Y,87196,3,89106
Bernard Diaz          ,379128745196750,919,?,4811 East Togo Way                                            ,Las Vegas             ,USA,915877,Xandra@habitant.com        ,Gregory *Blankenship   ,991-002-4728,NV,37321,65525,Y,411,9,60,Y,9,N,10,N,88784,1,89102
Colton Morrow         ,4539643334442554,1120,?,76346 North Madagascar Way                                    ,Las Vegas             ,USA,593943,Maxine@purus.com           ,Colton *Morrow         ,985-265-6528,NV,29890,29465,N,100.3,3,48.5,Y,78,N,16,N,86173,2,89109
Yuli Stevens          ,4532512970616754,721,?,36950 East Madagascar St.                                     ,Las Vegas             ,USA,607270,Stephen@iaculis.com        ,Yuli *Stevens          ,446-530-4086,NV,50584,50462,Y,277.6,17,77.8,N,28,N,10,Y,68267,3,89106
Fletcher Walsh        ,4396046013801185,1120,?,87090 West Belgium Ln.                                        ,Las Vegas             ,USA,572655,Rama@nostra.com            ,Cherokee *Keith        ,861-287-1626,NV,82771,33121,Y,859.5,14,86,Y,7,N,9,Y,24180,1,89102
Nasim Hanson          ,4716979497464604,422,?,51529 West Malawi Way                                         ,Las Vegas             ,USA,494054,Dane@fringilla.com         ,Nasim *Hanson          ,929-192-5085,NV,3077,2668,N,325.2,16,18.6,Y,58,N,11,Y,11896,2,89109
Jennifer Puckett      ,5358732916299824,320,?,9829 South Benton Harbor Ln.                                  ,Las Vegas             ,USA,119053,Elvis@ac.gov               ,Troy *Francis          ,051-803-8204,NV,19506,15962,N,797.3,7,82.3,Y,24,N,10,Y,73717,3,89106
Claudia Hardy         ,344757570918854,921,?,85293 West Andorra Blvd.                                      ,Las Vegas             ,USA,852117,Joseph@montes.edu          ,Claudia *Hardy         ,981-315-5462,NV,78249,77819,Y,186.1,10,20.6,N,86,N,23,Y,25509,1,89102
April Prince          ,4532945466696890,1120,?,64550 North Botswana Ln.                                      ,Las Vegas             ,USA,483562,Uma@Class.edu              ,Trevor *Lane           ,842-880-6130,NV,70018,63498,N,707.3,3,70.7,Y,29,N,13,N,65184,2,89109
Yuri Lane             ,373536013303542,618,?,84265 East Keene Blvd.                                        ,Las Vegas             ,USA,878721,Xavier@non.edu             ,Yuri *Lane             ,106-189-1241,NV,25837,25532,Y,84.1,8,42.8,Y,29,N,5,N,7860,3,89106
Tobias Mcdonald       ,5136427126082842,1019,?,7245 South Manchester St.                                     ,Las Vegas             ,USA,49688,Inga@elementum.org         ,Nomlanga *Clarke       ,763-107-4379,NV,58188,44310,Y,385.8,1,26.8,Y,15,N,16,Y,36604,1,89102
Quinn Cherry          ,4916192062753108,420,?,54621 East Hong Kong Way                                      ,Las Vegas             ,USA,348929,Shoshana@Curabitur.org     ,Tyrone *Mckee          ,729-565-8993,NV,62388,757,Y,149.6,18,89.8,N,44,N,3,Y,47505,2,89109
Meredith Colon        ,379159238597576,620,?,34973 North Boulder Junction Ln.                              ,Las Vegas             ,USA,897247,Sheila@sagittis.gov        ,Meredith *Colon        ,036-068-7581,NV,69899,69869,N,513.3,6,75.9,N,32,N,18,N,45364,3,89106
Kane Cline            ,5334874171800604,320,?,57272 East Bhutan Blvd.                                       ,Las Vegas             ,USA,136749,Kuame@rutrum.com           ,Kane *Cline            ,810-458-1023,NV,59406,59406,N,378.8,3,55.7,N,100,N,2,N,40291,1,89102
Clark Kelly           ,5209385745013949,920,?,82393 West Benin Ave.                                         ,Las Vegas             ,USA,49536,Minerva@porta.org          ,Clark *Kelly           ,190-002-6073,NV,72025,71725,Y,368.9,20,45,N,26,N,20,N,27750,2,89109
Halee Cardenas        ,5525621639056058,618,?,81233 North Baytown Ct.                                       ,Las Vegas             ,USA,130671,Anjolie@libero.gov         ,Halee *Cardenas        ,706-413-4154,NV,22843,22684,Y,370.2,15,54.5,N,79,N,1,Y,66902,3,89106
Rinah Workman         ,4929556223766412,223,?,66751 South Auburn Ln.                                        ,Las Vegas             ,USA,707341,Yoko@tristique.us          ,Rinah *Workman         ,141-577-2260,NV,19483,19348,N,350.5,8,45.3,N,54,N,4,N,39095,1,89102
Shafira Dotson        ,5470786335383570,920,?,6531 East College Park Ln.                                    ,Las Vegas             ,USA,90234,Martha@primis.net          ,Shafira *Dotson        ,072-033-6789,NV,20513,20026,Y,631.7,7,32.2,N,58,N,0,N,37237,2,89109
Marny Peters          ,4716948008222108,522,?,83909  Costa Rica St.                                         ,Las Vegas             ,USA,553344,George@Phasellus.gov       ,Marny *Peters          ,274-688-3866,NV,71081,70862,Y,20.7,17,72.2,N,35,N,9,N,46219,3,89106
Scott Barrett         ,6011498425970282,1122,?,58322  Hilo Ln.                                               ,Las Vegas             ,USA,936303,Austin@primis.org          ,Alice *Holland         ,786-184-6841,NV,96486,48189,Y,715.7,2,99.8,N,97,N,12,N,20369,1,89102
Simon Sellers         ,4556529450504665,620,?,66859 North Bhutan St.                                        ,Las Vegas             ,USA,383699,Lois@blandit.net           ,Graiden *Lester        ,166-264-9802,NV,38261,4123,N,677.2,5,48.7,Y,54,N,4,N,1647,2,89109
Laurel Carver         ,5230353626184497,1122,?,39490 South Tonga Ave.                                        ,Las Vegas             ,USA,95857,Elliott@pede.com           ,Laurel *Carver         ,692-505-6920,NV,95324,94909,Y,39.8,11,10.9,N,69,N,20,N,37336,3,89106
Zena Horton           ,5357554436711984,518,?,28229 East Vanuatu Ct.                                        ,Las Vegas             ,USA,180055,Bert@feugiat.com           ,Zena *Horton           ,667-078-5709,NV,84922,84674,N,58.7,16,24.9,Y,11,N,2,N,19158,1,89102
Emmanuel Sims         ,5417844049388843,320,?,39543 West Portugal Ln.                                       ,Las Vegas             ,USA,160718,Sarah@enim.edu             ,Emmanuel *Sims         ,785-461-3943,NV,60886,60550,N,436.7,18,60.8,Y,48,N,13,N,10933,2,89109
Meghan Wolfe          ,340897718052846,422,?,5799 South Comoros Ln.                                        ,Las Vegas             ,USA,932746,Ciaran@Nulla.edu           ,Meghan *Wolfe          ,854-263-3723,NV,6338,6287,N,759.4,7,22.2,Y,94,N,15,N,31345,3,89106
Elijah Huff           ,4024007190511302,422,?,41623 North Heard Island and Mcdonald Islands Ct.             ,Las Vegas             ,USA,541547,Daryl@quam.edu             ,Elijah *Huff           ,830-075-5661,NV,71430,71251,N,479.4,6,33.2,Y,23,N,20,N,4392,1,89102
Ulysses Haney         ,4539701019283691,123,?,98622 South Logan St.                                         ,Las Vegas             ,USA,638710,Stella@dui.net             ,Ulysses *Haney         ,098-557-7241,NV,64963,64844,Y,450,6,64.6,N,44,N,13,N,46873,2,89109
Alma Grant            ,4929934848793683,1023,?,2708  Chile St.                                               ,Las Vegas             ,USA,676405,Ulric@nonummy.org          ,Alma *Grant            ,762-180-0536,NV,20708,20398,Y,338.9,10,67.6,N,64,N,20,N,87047,3,89106
Merritt Murray        ,5197753874934488,720,?,4372 East Niger Ct.                                           ,Las Vegas             ,USA,79395,Rhiannon@Aenean.com        ,Merritt *Murray        ,124-308-3596,NV,6228,5976,Y,599.3,18,71.7,Y,31,N,4,Y,76911,1,89102
Cecilia Scott         ,5205235079128793,818,?,10169 North Romania Way                                       ,Las Vegas             ,USA,198304,Dana@adipiscing.net        ,Hadley *Dillon         ,701-510-2480,NV,81130,8487,Y,687,16,96,N,68,N,18,Y,71341,2,89109
Xyla Skinner          ,4024007123731480,1122,?,37281  Gettysburg Ave.                                        ,Las Vegas             ,USA,385670,Walter@lacus.org           ,Xyla *Skinner          ,633-416-5419,NV,11756,11614,Y,423,2,92.2,Y,46,N,21,Y,80023,3,89106
Tatum Whitney         ,377104323972245,420,?,83465 South Albania St.                                       ,Las Vegas             ,USA,890854,August@leo.gov             ,Tatum *Whitney         ,688-519-9721,NV,23046,22990,Y,953.4,13,61.4,Y,11,N,6,Y,17608,1,89102
Steel Walton          ,5302412111116795,1021,?,77603 South Viet Nam Ln.                                      ,Las Vegas             ,USA,128239,Gannon@Morbi.net           ,Skyler *Cobb           ,280-368-5573,NV,80830,32713,Y,117.1,1,74.5,Y,23,N,22,Y,69440,2,89109
Camden Mitchell       ,6011141306410917,1118,?,82226 West East Rutherford Blvd.                              ,Las Vegas             ,USA,964829,Sigourney@arcu.gov         ,Camden *Mitchell       ,912-195-8090,NV,96866,96461,N,958.4,4,92.6,N,91,N,12,N,50733,3,89106
Barbara Trevino       ,4929843896686824,422,?,31438 North Tonga Ct.                                         ,Las Vegas             ,USA,563924,Jakeem@dictum.us           ,Unity *Mcconnell       ,079-663-6635,NV,42958,3492,Y,981.4,8,29.9,N,40,N,10,Y,72544,1,89102
Ori Bruce             ,5473986829264842,419,?,22689  Benton Harbor Ln.                                      ,Las Vegas             ,USA,181586,Dolan@Lorem.net            ,Ori *Bruce             ,473-512-7188,NV,97502,97441,Y,927.4,3,50.1,N,83,N,22,Y,50845,2,89109
Desirae Gaines        ,5372111752100564,821,?,40532 East Claremont St.                                      ,Las Vegas             ,USA,332151,Dana@euismod.gov           ,Desirae *Gaines        ,320-042-8950,NV,26605,26428,N,21.3,13,104,N,56,N,0,N,80515,3,89106
Hedy Cherry           ,5291946365180703,620,?,61186 North Glens Falls Ave.                                  ,Las Vegas             ,USA,126198,Hedda@pharetra.org         ,Hilda *Dunn            ,568-726-6813,NV,55100,41279,Y,918.9,17,38,Y,55,N,5,Y,78131,1,89102
Ina Lamb              ,4532291516038548,122,?,79775 East Bosnia and Herzegovina Blvd.                       ,Las Vegas             ,USA,581260,Rebecca@nisi.com           ,Sawyer *Daniels        ,533-066-0867,NV,60255,77022,Y,809.2,2,36.8,N,37,N,1,Y,24178,2,89109
Mannix Merrill        ,4916640705667622,919,?,14428 North Eugene Blvd.                                      ,Las Vegas             ,USA,703327,Leonard@commodo.gov        ,Mannix *Merrill        ,443-160-6865,NV,55202,55044,Y,277,7,41.7,N,92,N,6,N,36426,3,89106
Nina Jimenez          ,341934176920807,1023,?,96798  Marshall Islands Ct.                                   ,Las Vegas             ,USA,845759,Calvin@varius.net          ,Nina *Jimenez          ,257-778-6841,NV,97340,97172,Y,497.3,12,109.7,Y,92,N,4,Y,64268,1,89102
Hollee Sanders        ,4024007187499214,921,?,55243 South Barbados Way                                      ,Las Vegas             ,USA,561477,Lester@commodo.gov         ,Hollee *Sanders        ,339-197-6845,NV,38148,37927,Y,989.7,5,32.8,Y,11,N,17,Y,26164,2,89109
Molly Hebert          ,5393164330354869,118,?,36  Guánica St.                                              ,Las Vegas             ,USA,36596,Iola@sagittis.us           ,Molly *Hebert          ,506-355-9942,NV,95867,95597,N,860.1,16,12.5,N,44,N,18,Y,91338,3,89106
Dawn Stewart          ,4556265021608616,223,?,28961 West Highland Park Ave.                                 ,Las Vegas             ,USA,681172,Idona@nisi.net             ,Karleigh *Mack         ,756-065-0692,NV,46898,42530,Y,568.8,20,39,N,2,N,19,Y,74716,1,89102
Moses Larson          ,348981767604178,622,?,43244 West Gabon Way                                          ,Las Vegas             ,USA,921459,Rachel@lectus.gov          ,Moses *Larson          ,792-463-9545,NV,9046,8591,Y,548.7,2,30.6,N,19,N,23,Y,77988,2,89109
Brennan Small         ,4485922388306921,321,?,2872 North Greenland St.                                      ,Las Vegas             ,USA,736778,Mercedes@adipiscing.net    ,Gregory *Leon          ,187-879-8421,NV,12515,42586,Y,702.5,12,51.3,Y,45,N,12,Y,94960,3,89106
Isabelle Vang         ,372943435524088,519,?,46430 South Bolivia Ln.                                       ,Las Vegas             ,USA,869681,Selma@dis.org              ,Isabelle *Vang         ,803-933-1779,NV,9452,9221,N,114.8,12,64.7,Y,4,N,9,N,68032,1,89102
Emily Dawson          ,5150278518565287,819,?,50128 South Cayman Islands Ln.                                ,Las Vegas             ,USA,202687,Nicholas@scelerisque.com   ,Emily *Dawson          ,223-814-5256,NV,91546,91513,N,195.4,6,42.5,Y,49,N,2,N,77051,2,89109
Halee Bruce           ,4485238943007726,1022,?,24835 East Cambodia Ave.                                      ,Las Vegas             ,USA,603114,Paloma@tellus.edu          ,Kylynn *Houston        ,038-066-3666,NV,26617,35230,Y,755.4,4,15.5,N,1,N,6,Y,55118,3,89106
Vaughan Wilder        ,5547511964798628,1022,?,88707 East Japan Ln.                                          ,Las Vegas             ,USA,57089,Brody@Sed.com              ,Zephr *Elliott         ,804-427-0797,NV,54451,55190,N,799.6,2,107.3,Y,51,N,21,Y,40282,1,89102
Theodore Rosario      ,4916480232131606,222,?,14608 South Brazil Ct.                                        ,Las Vegas             ,USA,348387,Cassady@risus.com          ,Arthur *Rich           ,045-106-2973,NV,24724,37984,N,210.3,12,98.7,N,18,N,10,N,90766,2,89109
Jackson Bradley       ,373591043519799,319,?,62452  Moldova Way                                            ,Las Vegas             ,USA,870318,Finn@facilisi.us           ,Jackson *Bradley       ,012-773-4182,NV,15131,14699,Y,785.9,16,66.2,N,57,N,12,Y,67612,3,89106
David Blevins         ,5482700535962022,820,?,16322 North Spain St.                                         ,Las Vegas             ,USA,222394,Octavia@Sed.us             ,David *Blevins         ,671-636-5937,NV,59413,59208,N,560.2,8,105.1,N,97,N,17,N,92939,1,89102
Prescott Haley        ,4929037274355850,322,?,31100  Carolina Ln.                                           ,Las Vegas             ,USA,596235,Kelly@ipsum.gov            ,Prescott *Haley        ,518-382-8984,NV,20392,20338,N,494.6,12,62.4,Y,100,N,5,N,67051,2,89109
MacKenzie Simon       ,5425347341731918,621,?,30452 East China Way                                          ,Las Vegas             ,USA,106110,Dylan@dolor.gov            ,Breanna *Tillman       ,638-329-0886,NV,45543,9283,N,651.1,4,38.1,N,2,N,5,N,66480,3,89106
Alan Gordon           ,4146482147253956,320,?,95051 East Christmas Island Ct.                               ,Las Vegas             ,USA,467848,Neil@odio.org              ,Alan *Gordon           ,349-589-0536,NV,80863,80750,Y,629.3,18,17.9,Y,6,N,3,Y,92768,1,89102
Evelyn Knapp          ,5346692225112263,221,?,"28284 West Virgin Islands, U.S. Blvd.                         ",Las Vegas             ,USA,85581,Remedios@Nullam.com        ,Evelyn *Knapp          ,445-128-6167,NV,61092,60738,N,73.9,10,101.1,Y,43,N,16,N,34942,2,89109
April Woodard         ,5539139745792304,918,?,85712 West Haiti Blvd.                                        ,Las Vegas             ,USA,237849,Angelica@fames.net         ,Renee *Whitehead       ,895-540-2994,NV,65255,54108,Y,168.8,16,10.2,N,38,N,14,Y,82252,3,89106
Tamara Mitchell       ,4916993453175573,718,?,98875 South Mauritius Ave.                                    ,Las Vegas             ,USA,638007,Haviva@sit.net             ,Madaline *Workman      ,963-651-7558,NV,28045,50023,Y,843.1,10,22.7,N,37,N,19,Y,83538,1,89102
Thane Stephenson      ,348370656310891,319,?,43914 North Burundi St.                                       ,Las Vegas             ,USA,829968,Liberty@laoreet.us         ,Thane *Stephenson      ,421-834-6582,NV,13853,13827,Y,476.1,3,13.7,N,25,N,18,Y,45684,2,89109
Matthew Mercer        ,5450931693886764,622,?,18769 East Niger Ct.                                          ,Las Vegas             ,USA,19260,Vivian@viverra.gov         ,Matthew *Mercer        ,991-095-6877,NV,51859,51732,N,486.3,16,107.1,N,27,N,12,N,28301,3,89106
Todd Fitzpatrick      ,4532609264478493,622,?,13440 East United States Ave.                                 ,Las Vegas             ,USA,711337,Arthur@fermentum.edu       ,Todd *Fitzpatrick      ,334-304-2719,NV,73355,72969,Y,310.7,1,40.7,N,68,N,23,Y,1732,1,89102
Evan Strickland       ,340240115556848,1219,?,42891  Botswana Ave.                                          ,Las Vegas             ,USA,874471,Shoshana@sociosqu.gov      ,Evan *Strickland       ,590-002-5364,NV,65803,65744,N,687.7,7,74.7,Y,66,N,6,N,37453,2,89109
Marcia Wolf           ,4556264646170250,523,?,81610 North Bethany Ln.                                       ,Las Vegas             ,USA,635160,Petra@tellus.com           ,Gregory *Simmons       ,386-419-0065,NV,88122,5510,Y,179.4,15,52.2,N,23,N,6,Y,50919,3,89106
Xanthus Livingston    ,6011357403105909,423,?,11504 North Reunion Ct.                                       ,Las Vegas             ,USA,966405,Jackson@nec.gov            ,Xanthus *Livingston    ,114-134-4158,NV,4150,3882,Y,423.1,15,80.5,Y,33,N,20,N,6045,1,89102
Maggy Morales         ,4539700461733872,220,?,16222 East North Charleston Ct.                               ,Las Vegas             ,USA,454385,Dale@enim.edu              ,Maggy *Morales         ,210-938-7626,NV,49777,49339,Y,264.7,6,24,Y,40,N,18,N,6291,2,89109
Patrick Sutton        ,5510882371390744,618,?,78043  Del Rio Ln.                                            ,Las Vegas             ,USA,34391,Shana@Curae.gov            ,Patrick *Sutton        ,231-550-2372,NV,55729,55501,N,388,18,55.9,Y,20,N,18,N,19220,3,89106
Naida Thompson        ,5214364650952030,1221,?,64920 North Australia Ln.                                     ,Las Vegas             ,USA,230004,Ginger@volutpat.org        ,Naida *Thompson        ,694-087-8280,NV,58895,58830,Y,834.5,7,83.5,N,23,N,7,Y,9117,1,89102
Lareina Clemons       ,5270255113334835,220,?,34871 West Christmas Island Ct.                               ,Las Vegas             ,USA,112881,Jenna@accumsan.com         ,Lareina *Clemons       ,231-372-3230,NV,49880,49592,N,249.1,14,27.3,N,60,N,9,N,86367,2,89109
Lane Mckee            ,4322885474790307,919,?,35300  Hong Kong Ln.                                          ,Las Vegas             ,USA,725394,Raja@eget.com              ,Lane *Mckee            ,894-871-1211,NV,36825,36639,N,484.6,7,59.4,N,1,N,2,N,63036,3,89106
Edan Reyes            ,5424785070170793,922,?,41148 South Armenia St.                                       ,Las Vegas             ,USA,329836,Emerald@Curae.edu          ,Edan *Reyes            ,908-845-6784,NV,7682,7458,Y,492.1,15,65.5,N,2,N,23,N,1752,1,89102
Zia Bradley           ,4024007138257968,519,?,71365  Japan Ct.                                              ,Las Vegas             ,USA,445981,Nero@rhoncus.us            ,Zia *Bradley           ,724-074-3518,NV,61530,61423,N,753.8,18,107.1,Y,45,N,17,N,35218,2,89109
Grady Harper          ,374726032641167,723,?,15741  Greensburg Ave.                                        ,Las Vegas             ,USA,856657,Lamar@erat.net             ,Grady *Harper          ,711-749-4005,NV,71867,71456,N,698.9,17,93.6,N,85,N,13,N,35268,3,89106
Haley Rosa            ,5483754539858115,618,?,98137 South Senegal Ct.                                       ,Las Vegas             ,USA,211825,Montana@odio.org           ,Devin *Buck            ,685-884-8164,NV,79362,68748,Y,231.4,1,88.6,N,89,N,21,N,40162,1,89102
Shana Dale            ,5296265102667228,318,?,93093 West Bahamas Way                                        ,Las Vegas             ,USA,326378,Leo@interdum.net           ,Shana *Dale            ,655-666-4827,NV,8621,8233,N,349.1,13,28.8,Y,69,N,14,N,50646,2,89109
Chaim Harris          ,5471856478249679,523,?,2452 South Togo Blvd.                                         ,Las Vegas             ,USA,109603,Fulton@tortor.us           ,Chaim *Harris          ,041-021-3000,NV,49323,49022,N,110.3,17,32.8,Y,63,N,8,N,80332,3,89106
Althea Scott          ,4024007117745785,1118,?,69016 East Bosnia and Herzegovina Ave.                        ,Las Vegas             ,USA,619982,Valentine@mollis.org       ,Adam *Saunders         ,454-706-4699,NV,76990,82346,Y,805.2,15,106.2,Y,12,N,0,Y,10583,1,89102
Kitra Soto            ,6011173409468682,1020,?,53612  Lithuania Ct.                                          ,Las Vegas             ,USA,979615,Ora@per.us                 ,Kitra *Soto            ,216-798-4747,NV,66346,65955,Y,234.8,3,80.1,N,87,N,23,Y,70448,2,89109
Anjolie Nguyen        ,341017844112948,718,?,2277 North French Southern Territories Blvd.                  ,Las Vegas             ,USA,819273,Holmes@justo.org           ,Anjolie *Nguyen        ,127-981-2433,NV,67282,66881,Y,796.7,2,70.7,Y,67,N,5,Y,42528,3,89106
Griffin Kidd          ,4485886628730143,1021,?,11586 West Serbia and Montenegro Way                          ,Las Vegas             ,USA,465789,Karen@Nam.gov              ,Cleo *Foley            ,960-168-7954,NV,90278,54431,N,601.5,12,10.9,Y,24,N,17,Y,78100,1,89102
Marny Mitchell        ,4485655622732052,520,?,3944  French Guiana St.                                       ,Las Vegas             ,USA,690957,Laith@aptent.com           ,Dara *Noel             ,567-188-6131,NV,7803,94465,Y,936.7,10,59,Y,1,N,14,Y,47430,2,89109
Isaiah Meyers         ,4024007108670083,423,?,74013 West Chad St.                                           ,Las Vegas             ,USA,385500,Adria@mi.edu               ,Wesley *Richard        ,123-495-1579,NV,47698,91056,N,805.8,12,95.1,N,93,N,9,N,19446,3,89106
Olivia Reese          ,373387334846847,219,?,"15244 North Tanzania, United Republic of Ct.                  ",Las Vegas             ,USA,909745,Katell@convallis.net       ,Rahim *Haney           ,238-152-5391,NV,18840,7739,Y,136.2,11,16.5,Y,58,N,20,Y,37141,1,89102
Phelan Taylor         ,4532791893264872,821,?,47152  Mexico Ln.                                             ,Las Vegas             ,USA,440509,Olga@dolor.net             ,Phelan *Taylor         ,088-752-2229,NV,6852,6377,Y,303.4,4,14.7,Y,26,N,13,Y,1779,2,89109
Kylie Roman           ,4485021143411637,221,?,4142 East DeKalb Ln.                                          ,Las Vegas             ,USA,534179,Vladimir@tortor.com        ,Merrill *Black         ,367-263-7057,NV,38757,60211,N,202.7,18,100.5,N,3,N,1,N,70891,3,89106
Andrew Preston        ,379523624269456,519,?,1085 West Azerbaijan St.                                      ,Las Vegas             ,USA,829569,Orlando@fermentum.org      ,Andrew *Preston        ,395-288-8866,NV,40570,40557,Y,410.1,10,80.4,Y,40,N,13,Y,28484,1,89102
